ID,cell_name,drug_name,IC50
4470,MCF7,FTI-277,-1.18
4471,MCF7,OSU-03012,-0.07
4472,MCF7,Shikonin,0.13
4473,MCF7,AKT inhibitor VIII,-0.94
4474,MCF7,Embelin,-0.86
4475,MCF7,FH535,-0.44
4476,MCF7,PAC-1,-0.69
4477,MCF7,IPA-3,-0.52
4478,MCF7,GSK-650394,-0.15
4479,MCF7,BAY 61-3606,-0.07
4480,MCF7,5-Fluorouracil,-2.68
4481,MCF7,Thapsigargin,3.28
4482,MCF7,Obatoclax Mesylate,1.94
4483,MCF7,BMS-754807,1.01
4484,MCF7,OSI-906,-0.19
4485,MCF7,Bexarotene,-1.15
4486,MCF7,Bleomycin,-0.11
4487,MCF7,LFM-A13,-1.73
4488,MCF7,GW-2580,-2.35
4489,MCF7,Phenformin,-2.03
4490,MCF7,Bryostatin 1,1.69
4491,MCF7,Pazopanib,-1.22
4492,MCF7,LAQ824,1.62
4493,MCF7,Epothilone B,3.45
4494,MCF7,GSK-1904529A,-0.94
4495,MCF7,BMS-345541,-2.24
4496,MCF7,Tipifarnib,0.71
4497,MCF7,Ruxolitinib,-1.66
4498,MCF7,AS601245,-0.1
4499,MCF7,SB-715992,-0.21
4500,MCF7,AT-7519,-1.92
4501,MCF7,TAK-715,-1.89
4502,MCF7,BX-912,-2.17
4503,MCF7,ZSTK474,-1.88
4504,MCF7,AS605240,-1.96
4505,MCF7,GSK1070916,-1.58
4506,MCF7,LY317615,-2.46
4507,MCF7,GSK429286A,-2.47
4508,MCF7,FMK,-2.47
4509,MCF7,CAL-101,-2.47
4510,MCF7,XL-184,-1.88
4511,MCF7,AC220,-1.18
4512,MCF7,CP724714,-2
4513,MCF7,STF-62247,-2.18
4514,MCF7,NG-25,-1.98
4515,MCF7,VX-11e,-1.88
4516,MCF7,FR-180204,-2.47
4517,MCF7,Tubastatin A,-2.47
4518,MCF7,YM155,0.38
4519,MCF7,NSC-207895,-2.47
4520,MCF7,AR-42,-1.02
4521,MCF7,CUDC-101,-0.93
4522,MCF7,I-BET 151,-2.47
4523,MCF7,CAY10603,-1.03
4524,MCF7,ABT-869,-1.04
4525,MCF7,BIX02189,-2.47
4526,MCF7,CH5424802,-1.82
4527,MCF7,EKB-569,-1.57
4528,MCF7,GSK2126458,-0.28
4529,MCF7,Masitinib,-2.14
4530,MCF7,MP470,-0.07
4531,MCF7,NVP-BHG712,-1.99
4532,MCF7,OSI-930,-1.29
4533,MCF7,OSI-027,-2.44
4534,MCF7,CX-5461,-2.18
4535,MCF7,PHA-793887,-2.18
4536,MCF7,PI-103,-2.18
4537,MCF7,PIK-93,-2.47
4538,MCF7,TPCA-1,-2.47
4539,MCF7,TG101348,-2.18
4540,MCF7,XL-880,-1.88
4541,MCF7,Y-39983,-2.47
4542,MCF7,YM201636,-1.88
4543,MCF7,AV-951,-0.28
4544,MCF7,GSK690693,-2.18
4545,MCF7,SNX-2112,-1.58
4546,MCF7,QL-X-138,-2.12
4547,MCF7,T0901317,-2.15
4548,MCF7,EX-527,-2.33
4549,MCF7,AICAR,-3.09
4550,MCF7,Camptothecin,1.78
4551,MCF7,Vinblastine,1.54
4552,MCF7,Cisplatin,-1.35
4553,MCF7,Cytarabine,-0.19
4554,MCF7,Docetaxel,2.78
4555,MCF7,Methotrexate,-0.46
4556,MCF7,ATRA,-1.22
4557,MCF7,Gefitinib,-0.45
4558,MCF7,ABT-263,-1.07
4559,MCF7,Vorinostat,-0.76
4560,MCF7,Nilotinib,-1.31
4561,MCF7,RDEA119,-1.62
4562,MCF7,CI-1040,-1.49
4563,MCF7,Temsirolimus,0.51
4564,MCF7,Olaparib,-1.39
4565,MCF7,ABT-888,-1.87
4566,MCF7,Bosutinib,-1.37
4567,MCF7,Lenalidomide,-1.87
4568,MCF7,Axitinib,-0.8
4569,MCF7,AZD7762,-0.7
4570,MCF7,GW 441756,-0.7
4571,MCF7,CEP-701,-0.07
4572,MCF7,SB 216763,-1.26
4573,MCF7,17-AAG,1.38
4574,MCF7,VX-702,-1.46
4575,MCF7,AMG-706,-0.9
4576,MCF7,KU-55933,-1.3
4577,MCF7,Elesclomol,1.73
4578,MCF7,Afatinib,-0.49
4579,MCF7,Vismodegib,-2.17
4580,MCF7,PLX4720,-1.15
4581,MCF7,BX-795,-1.06
4582,MCF7,NU-7441,-1.14
4583,MCF7,SL 0101-1,-1.85
4584,MCF7,BIRB 0796,-1.98
4585,MCF7,JNK Inhibitor VIII,-1.72
4586,MCF7,Nutlin-3a,-0.75
4587,MCF7,PD-173074,-0.87
4588,MCF7,ZM-447439,-1.25
4589,MCF7,RO-3306,-0.86
4590,MCF7,MK-2206,-0.39
4591,MCF7,PD-0332991,-0.17
4592,MCF7,NVP-BEZ235,1.32
4593,MCF7,GDC0941,0.05
4594,MCF7,AZD8055,0.31
4595,MCF7,PD-0325901,0.13
4596,MCF7,SB590885,-1.35
4597,MCF7,CCT007093,-0.56
4598,MCF7,EHT 1864,-1.07
4599,MCF7,PF-4708671,-1.57
4600,MCF7,JNJ-26854165,-1.17
4601,MCF7,TW 37,0.41
4602,MCF7,CCT018159,-0.92
4603,MCF7,AG-014699,-0.83
4604,MCF7,SB-505124,-1.99
4605,MCF7,Tamoxifen,-0.85
4606,MCF7,PFI-1,-0.8
4607,MCF7,IOX2,-0.12
4608,MCF7,YK 4-279,-0.65
4609,MCF7,(5Z)-7-Oxozeaenol,-0.52
4610,MCF7,piperlongumine,-0.64
4611,MCF7,FK866,1.1
4612,MCF7,BMN-673,-0.48
4613,MCF7,UNC1215,-1.1
4614,MCF7,SGC0946,-0.5
4615,MCF7,XAV 939,-1.6
4616,MCF7,Trametinib,-1.03
4617,MCF7,Dabrafenib,-1.32
4618,MCF7,Temozolomide,-2.28
4619,MCF7,SN-38,2.71
4620,MCF7,MLN4924,0.56
4621,KMS-12-BM,Rapamycin,0.95
4622,KMS-12-BM,Sunitinib,-0.6
4623,KMS-12-BM,PHA-665752,-1.11
4624,KMS-12-BM,MG-132,0.39
4625,KMS-12-BM,Paclitaxel,2.21
4626,KMS-12-BM,Cyclopamine,-1.98
4627,KMS-12-BM,Sorafenib,-0.62
4628,KMS-12-BM,VX-680,-0.72
4629,KMS-12-BM,Imatinib,-1.05
4630,KMS-12-BM,NVP-TAE684,-0.01
4631,KMS-12-BM,Crizotinib,-0.68
4632,KMS-12-BM,AZD-0530,-1.08
4633,KMS-12-BM,S-Trityl-L-cysteine,-0.1
4634,KMS-12-BM,Z-LLNle-CHO,-0.04
4635,KMS-12-BM,Dasatinib,-0.62
4636,KMS-12-BM,GNF-2,-0.93
4637,KMS-12-BM,CGP-60474,1.03
4638,KMS-12-BM,CGP-082996,-1.08
4639,KMS-12-BM,A-770041,-1.31
4640,KMS-12-BM,WH-4-023,-1.32
4641,KMS-12-BM,BI-2536,1.63
4642,KMS-12-BM,BMS-509744,-0.74
4643,KMS-12-BM,CMK,-0.5
4644,KMS-12-BM,Pyrimethamine,-1.32
4645,KMS-12-BM,A-443654,0.84
4646,KMS-12-BM,GW843682X,1.94
4647,KMS-12-BM,Parthenolide,-1.4
4648,KMS-12-BM,TGX221,-1.72
4649,KMS-12-BM,XMD8-85,-0.51
4650,KMS-12-BM,Salubrinal,-0.88
4651,KMS-12-BM,Doxorubicin,0.49
4652,KMS-12-BM,Etoposide,-0.65
4653,KMS-12-BM,Gemcitabine,0.38
4654,KMS-12-BM,Mitomycin C,-0.09
4655,KMS-12-BM,Vinorelbine,2.1
4656,KMS-12-BM,NSC-87877,-1.94
4657,KMS-12-BM,QS11,-1.04
4658,KMS-12-BM,CP466722,-0.28
4659,KMS-12-BM,Midostaurin,-0.07
4660,KMS-12-BM,AP-24534,-0.27
4661,KMS-12-BM,JNK-9L,0.23
4662,KMS-12-BM,PF-562271,-0.55
4663,KMS-12-BM,HG-6-64-1,-0.28
4664,KMS-12-BM,DMOG,-2.18
4665,KMS-12-BM,FTI-277,-0.8
4666,KMS-12-BM,OSU-03012,-0.62
4667,KMS-12-BM,Shikonin,0.51
4668,KMS-12-BM,AKT inhibitor VIII,-0.8
4669,KMS-12-BM,Embelin,-1.49
4670,KMS-12-BM,FH535,-0.78
4671,KMS-12-BM,PAC-1,-0.38
4672,KMS-12-BM,IPA-3,-1.68
4673,KMS-12-BM,GSK-650394,-1.57
4674,KMS-12-BM,BAY 61-3606,-0.91
4675,KMS-12-BM,5-Fluorouracil,-1.28
4676,KMS-12-BM,Thapsigargin,2.35
4677,KMS-12-BM,Obatoclax Mesylate,0.47
4678,KMS-12-BM,BMS-754807,-0.35
4679,KMS-12-BM,OSI-906,-0.24
4680,KMS-12-BM,Bexarotene,-1.43
4681,KMS-12-BM,Bleomycin,-1.62
4682,KMS-12-BM,LFM-A13,-1.96
4683,KMS-12-BM,GW-2580,-2.12
4684,KMS-12-BM,Phenformin,-2.79
4685,KMS-12-BM,Bryostatin 1,1.29
4686,KMS-12-BM,Pazopanib,-1.49
4687,KMS-12-BM,LAQ824,1.81
4688,KMS-12-BM,Epothilone B,2.39
4689,KMS-12-BM,GSK-1904529A,-0.83
4690,KMS-12-BM,BMS-345541,-0.89
4691,KMS-12-BM,Tipifarnib,-0.73
4692,KMS-12-BM,Ruxolitinib,-1.53
4693,KMS-12-BM,AS601245,-1.01
4694,KMS-12-BM,SB-715992,1.56
4695,KMS-12-BM,AT-7519,0.56
4696,KMS-12-BM,TAK-715,-1.21
4697,KMS-12-BM,BX-912,-0.7
4698,KMS-12-BM,ZSTK474,0.35
4699,KMS-12-BM,AS605240,-1.29
4700,KMS-12-BM,GSK1070916,0.02
4701,KMS-12-BM,LY317615,-1.07
4702,KMS-12-BM,GSK429286A,-1.9
4703,KMS-12-BM,FMK,-1.73
4704,KMS-12-BM,CAL-101,-1.31
4705,KMS-12-BM,XL-184,-1
4706,KMS-12-BM,AC220,-0.57
4707,KMS-12-BM,CP724714,-1.61
4708,KMS-12-BM,STF-62247,-1.53
4709,KMS-12-BM,NG-25,-0.85
4710,KMS-12-BM,VX-11e,-1.13
4711,KMS-12-BM,FR-180204,-1.73
4712,KMS-12-BM,Tubastatin A,-0.95
4713,KMS-12-BM,YM155,2.34
4714,KMS-12-BM,NSC-207895,-1.25
4715,KMS-12-BM,AR-42,1.07
4716,KMS-12-BM,CUDC-101,1.1
4717,KMS-12-BM,I-BET 151,0.25
4718,KMS-12-BM,CAY10603,0.36
4719,KMS-12-BM,ABT-869,-0.83
4720,KMS-12-BM,BIX02189,-1.35
4721,KMS-12-BM,CH5424802,-1.51
4722,KMS-12-BM,EKB-569,0.32
4723,KMS-12-BM,GSK2126458,2.25
4724,KMS-12-BM,Masitinib,-0.88
4725,KMS-12-BM,MP470,-1.02
4726,KMS-12-BM,NVP-BHG712,-1.42
4727,KMS-12-BM,OSI-930,-0.96
4728,KMS-12-BM,OSI-027,0.83
4729,KMS-12-BM,CX-5461,-0.54
4730,KMS-12-BM,PHA-793887,0.32
4731,KMS-12-BM,PI-103,0.88
4732,KMS-12-BM,PIK-93,-0.47
4733,KMS-12-BM,TPCA-1,-0.16
4734,KMS-12-BM,TG101348,0.43
4735,KMS-12-BM,XL-880,-0.28
4736,KMS-12-BM,Y-39983,-1.15
4737,KMS-12-BM,YM201636,-0.72
4738,KMS-12-BM,AV-951,0.17
4739,KMS-12-BM,GSK690693,-0.69
4740,KMS-12-BM,SNX-2112,1.05
4741,KMS-12-BM,QL-X-138,0.3
4742,KMS-12-BM,T0901317,-1.06
4743,KMS-12-BM,EX-527,-1.87
4744,KMS-12-BM,AICAR,-2.53
4745,KMS-12-BM,Camptothecin,1.71
4746,KMS-12-BM,Vinblastine,2.56
4747,KMS-12-BM,Cisplatin,-1.25
4748,KMS-12-BM,Cytarabine,-0.47
4749,KMS-12-BM,Docetaxel,2.52
4750,KMS-12-BM,Methotrexate,0.68
4751,KMS-12-BM,ATRA,-0.69
4752,KMS-12-BM,Gefitinib,-0.35
4753,KMS-12-BM,Vorinostat,0.51
4754,KMS-12-BM,Nilotinib,-0.64
4755,KMS-12-BM,CI-1040,-0.87
4756,KMS-12-BM,Temsirolimus,1.3
4757,KMS-12-BM,Olaparib,-1.46
4758,KMS-12-BM,ABT-888,-1.52
4759,KMS-12-BM,Bosutinib,0.35
4760,KMS-12-BM,Lenalidomide,0.32
4761,KMS-12-BM,Axitinib,-0.33
4762,KMS-12-BM,AZD7762,0.87
4763,KMS-12-BM,GW 441756,-0.94
4764,KMS-12-BM,CEP-701,1.54
4765,KMS-12-BM,SB 216763,-1.56
4766,KMS-12-BM,VX-702,-0.94
4767,KMS-12-BM,Elesclomol,1.99
4768,KMS-12-BM,Afatinib,-0.52
4769,KMS-12-BM,Vismodegib,-1.24
4770,KMS-12-BM,CCT007093,-1.38
4771,KMS-12-BM,EHT 1864,-1.12
4772,KMS-12-BM,PF-4708671,-1.16
4773,KMS-12-BM,JNJ-26854165,-0.85
4774,KMS-12-BM,TW 37,0.55
4775,KMS-12-BM,CCT018159,-1.26
4776,KMS-12-BM,AG-014699,-1.52
4777,LP-1,Erlotinib,-1.09
4778,LP-1,Rapamycin,0.97
4779,LP-1,Sunitinib,-1.02
4780,LP-1,PHA-665752,-1.13
4781,LP-1,MG-132,0.72
4782,LP-1,Paclitaxel,1.03
4783,LP-1,Cyclopamine,-1.63
4784,LP-1,AZ628,-0.99
4785,LP-1,Sorafenib,-0.53
4786,LP-1,VX-680,-0.7
4787,LP-1,Imatinib,-1.22
4788,LP-1,NVP-TAE684,-0.19
4789,LP-1,Crizotinib,-0.94
4790,LP-1,AZD-0530,-1.22
4791,LP-1,S-Trityl-L-cysteine,-0.47
4792,LP-1,Z-LLNle-CHO,-0.95
4793,LP-1,Dasatinib,-0.58
4794,LP-1,GNF-2,-1.02
4795,LP-1,CGP-60474,1.25
4796,LP-1,CGP-082996,-0.98
4797,LP-1,A-770041,-0.2
4798,LP-1,WH-4-023,-1.63
4799,LP-1,BI-2536,0.97
4800,LP-1,BMS-509744,-1.74
4801,LP-1,CMK,-0.56
4802,LP-1,Pyrimethamine,-1.85
4803,LP-1,A-443654,-0.14
4804,LP-1,GW843682X,1.29
4805,LP-1,MS-275,-0.16
4806,LP-1,Parthenolide,-1.21
4807,LP-1,TGX221,-1.65
4808,LP-1,Bortezomib,2.48
4809,LP-1,XMD8-85,-1.04
4810,LP-1,Roscovitine,-1.45
4811,LP-1,Salubrinal,-0.56
4812,LP-1,Lapatinib,-0.93
4813,LP-1,Doxorubicin,-0.4
4814,LP-1,Etoposide,-2.12
4815,LP-1,Gemcitabine,-0.51
4816,LP-1,Mitomycin C,-0.59
4817,LP-1,Vinorelbine,0.91
4818,LP-1,NSC-87877,-1.74
4819,LP-1,QS11,-1.1
4820,LP-1,CP466722,-0.62
4821,LP-1,Midostaurin,-0.38
4822,LP-1,AP-24534,-0.55
4823,LP-1,JNK-9L,0.32
4824,LP-1,PF-562271,-1.11
4825,LP-1,HG-6-64-1,-1.06
4826,LP-1,DMOG,-2.26
4827,LP-1,FTI-277,-0.93
4828,LP-1,OSU-03012,-0.81
4829,LP-1,Shikonin,0.19
4830,LP-1,AKT inhibitor VIII,-0.89
4831,LP-1,Embelin,-1.61
4832,LP-1,FH535,-0.79
4833,LP-1,PAC-1,-0.92
4834,LP-1,IPA-3,-1.38
4835,LP-1,GSK-650394,-1.78
4836,LP-1,BAY 61-3606,-0.59
4837,LP-1,5-Fluorouracil,-1.48
4838,LP-1,Thapsigargin,1.99
4839,LP-1,Obatoclax Mesylate,0.58
4840,LP-1,BMS-754807,-0.07
4841,LP-1,OSI-906,-0.11
4842,LP-1,Bexarotene,-1.52
4843,LP-1,Bleomycin,-2.26
4844,LP-1,LFM-A13,-2.06
4845,LP-1,GW-2580,-2.05
4846,LP-1,Phenformin,-2.4
4847,LP-1,Bryostatin 1,1.3
4848,LP-1,Pazopanib,-1.69
4849,LP-1,LAQ824,1.33
4850,LP-1,Epothilone B,1.06
4851,LP-1,GSK-1904529A,-0.74
4852,LP-1,BMS-345541,-1.04
4853,LP-1,Tipifarnib,-1.13
4854,LP-1,Ruxolitinib,-1.45
4855,LP-1,AS601245,-0.66
4856,LP-1,SB-715992,1.55
4857,LP-1,AT-7519,0.33
4858,LP-1,TAK-715,-1.24
4859,LP-1,BX-912,-1.16
4860,LP-1,ZSTK474,0.39
4861,LP-1,AS605240,-1.19
4862,LP-1,GSK1070916,-0.52
4863,LP-1,LY317615,-1.1
4864,LP-1,GSK429286A,-1.84
4865,LP-1,FMK,-2.16
4866,LP-1,CAL-101,-1.52
4867,LP-1,XL-184,-0.81
4868,LP-1,AC220,-0.04
4869,LP-1,CP724714,-1.17
4870,LP-1,STF-62247,-1.11
4871,LP-1,NG-25,-0.82
4872,LP-1,VX-11e,-1.09
4873,LP-1,FR-180204,-1.65
4874,LP-1,Tubastatin A,-1.2
4875,LP-1,YM155,2.17
4876,LP-1,NSC-207895,-1
4877,LP-1,AR-42,0.81
4878,LP-1,CUDC-101,0.53
4879,LP-1,I-BET 151,-0.21
4880,LP-1,CAY10603,0.2
4881,LP-1,ABT-869,-0.62
4882,LP-1,BIX02189,-1.65
4883,LP-1,CH5424802,-1.33
4884,LP-1,EKB-569,-0.93
4885,LP-1,GSK2126458,2.23
4886,LP-1,Masitinib,-0.9
4887,LP-1,MP470,-0.7
4888,LP-1,NVP-BHG712,-1.04
4889,LP-1,OSI-930,-0.88
4890,LP-1,OSI-027,0.55
4891,LP-1,CX-5461,-1.79
4892,LP-1,PHA-793887,-0.15
4893,LP-1,PI-103,0.91
4894,LP-1,PIK-93,0.13
4895,LP-1,TPCA-1,-1.38
4896,LP-1,TG101348,-0.55
4897,LP-1,XL-880,-0.39
4898,LP-1,Y-39983,-1.81
4899,LP-1,YM201636,-0.43
4900,LP-1,AV-951,-0.02
4901,LP-1,GSK690693,-1.39
4902,LP-1,SNX-2112,-0.13
4903,LP-1,QL-X-138,0.14
4904,LP-1,T0901317,-1.13
4905,LP-1,EX-527,-1.99
4906,LP-1,AICAR,-3.55
4907,LP-1,Camptothecin,0.56
4908,LP-1,Vinblastine,0.87
4909,LP-1,Cisplatin,-1.77
4910,LP-1,Cytarabine,-1.08
4911,LP-1,Docetaxel,1.03
4912,LP-1,Methotrexate,-0.03
4913,LP-1,ATRA,-1.77
4914,LP-1,Gefitinib,-0.45
4915,LP-1,ABT-263,-0.37
4916,LP-1,Vorinostat,-0.37
4917,LP-1,Nilotinib,-1.22
4918,LP-1,RDEA119,-1.51
4919,LP-1,CI-1040,-1.42
4920,LP-1,Temsirolimus,-0.03
4921,LP-1,Olaparib,-1.45
4922,LP-1,ABT-888,-1.62
4923,LP-1,Bosutinib,-1.22
4924,LP-1,Lenalidomide,-1.62
4925,LP-1,Axitinib,-1.22
4926,LP-1,AZD7762,-1.19
4927,LP-1,GW 441756,-1.21
4928,LP-1,CEP-701,-1.22
4929,LP-1,SB 216763,-1.91
4930,LP-1,17-AAG,-0.92
4931,LP-1,VX-702,-1.22
4932,LP-1,AMG-706,-1.11
4933,LP-1,KU-55933,-1.55
4934,LP-1,Elesclomol,0.12
4935,LP-1,Afatinib,-0.62
4936,LP-1,Vismodegib,-1.83
4937,LP-1,PLX4720,-1.45
4938,LP-1,BX-795,-1.17
4939,LP-1,NU-7441,-1.22
4940,LP-1,SL 0101-1,-1.76
4941,LP-1,BIRB 0796,-1.91
4942,LP-1,JNK Inhibitor VIII,-1.48
4943,LP-1,Nutlin-3a,-1.47
4944,LP-1,PD-173074,-1.09
4945,LP-1,ZM-447439,-1.46
4946,LP-1,RO-3306,-1.49
4947,LP-1,MK-2206,-1.07
4948,LP-1,PD-0332991,-1.52
4949,LP-1,NVP-BEZ235,0.82
4950,LP-1,GDC0941,-0.72
4951,LP-1,AZD8055,0.07
4952,LP-1,PD-0325901,-0.31
4953,LP-1,SB590885,-1.58
4954,LP-1,CCT007093,-1.69
4955,LP-1,EHT 1864,-1.04
4956,LP-1,PF-4708671,-0.94
4957,LP-1,JNJ-26854165,-1.78
4958,LP-1,TW 37,-0.09
4959,LP-1,ZG-10,-0.7
4960,LP-1,XMD8-92,-1.36
4961,LP-1,CCT018159,-1.45
4962,LP-1,AG-014699,-1.31
4963,LP-1,SB-505124,-1.74
4964,LP-1,Tamoxifen,-1.49
4965,LP-1,PFI-1,-1.51
4966,LP-1,IOX2,0.1
4967,LP-1,YK 4-279,-1.75
4968,LP-1,(5Z)-7-Oxozeaenol,-0.66
4969,LP-1,piperlongumine,-0.66
4970,LP-1,FK866,2.21
4971,LP-1,BMN-673,-1.9
4972,LP-1,UNC1215,-0.71
4973,LP-1,SGC0946,-0.6
4974,LP-1,XAV 939,-1.53
4975,LP-1,Trametinib,-0.87
4976,LP-1,Dabrafenib,-1.74
4977,LP-1,Temozolomide,-2.37
4978,LP-1,SN-38,0.78
4979,LP-1,MLN4924,-0.46
4980,FU97,Doxorubicin,0.95
4981,FU97,Etoposide,-1.87
4982,FU97,Gemcitabine,-0.58
4983,FU97,Mitomycin C,-0.12
4984,FU97,Vinorelbine,0.99
4985,FU97,NSC-87877,-2.32
4986,FU97,QS11,-1.31
4987,FU97,CP466722,-1.28
4988,FU97,Midostaurin,0.05
4989,FU97,AP-24534,0.37
4990,FU97,JNK-9L,0.27
4991,FU97,PF-562271,-0.73
4992,FU97,HG-6-64-1,0.04
4993,FU97,DMOG,-2.39
4994,FU97,FTI-277,-1.14
4995,FU97,OSU-03012,-0.8
4996,FU97,Shikonin,0.17
4997,FU97,AKT inhibitor VIII,-0.2
4998,FU97,Embelin,-0.87
4999,FU97,FH535,-0.06
5000,FU97,PAC-1,-0.98
5001,FU97,IPA-3,-1.56
5002,FU97,GSK-650394,-1.24
5003,FU97,BAY 61-3606,-0.98
5004,FU97,5-Fluorouracil,-2.35
5005,FU97,Thapsigargin,2.49
5006,FU97,Obatoclax Mesylate,1
5007,FU97,BMS-754807,-0.9
5008,FU97,OSI-906,-1.02
5009,FU97,Bexarotene,-1.53
5010,FU97,LFM-A13,-1.49
5011,FU97,GW-2580,-2.1
5012,FU97,Phenformin,-3.05
5013,FU97,Bryostatin 1,1.3
5014,FU97,Pazopanib,0.16
5015,FU97,LAQ824,1.53
5016,FU97,Epothilone B,0.9
5017,FU97,GSK-1904529A,-0.55
5018,FU97,BMS-345541,-1.26
5019,FU97,Tipifarnib,-0.49
5020,FU97,Ruxolitinib,-1.76
5021,FU97,AS601245,-0.79
5022,FU97,SB-715992,0.11
5023,FU97,AT-7519,-0.8
5024,FU97,TAK-715,-1.42
5025,FU97,BX-912,-0.84
5026,FU97,ZSTK474,-0.11
5027,FU97,AS605240,-1.28
5028,FU97,GSK1070916,-1.18
5029,FU97,LY317615,-1.79
5030,FU97,GSK429286A,-2.45
5031,FU97,FMK,-2.32
5032,FU97,CAL-101,-1.61
5033,FU97,XL-184,-0.79
5034,FU97,AC220,-0.71
5035,FU97,CP724714,-1.85
5036,FU97,STF-62247,-2.02
5037,FU97,NG-25,-1.37
5038,FU97,VX-11e,-1.34
5039,FU97,FR-180204,-2.14
5040,FU97,Tubastatin A,-1.94
5041,FU97,YM155,0.7
5042,FU97,NSC-207895,-1.86
5043,FU97,AR-42,-0.22
5044,FU97,CUDC-101,0.06
5045,FU97,I-BET 151,-1.81
5046,FU97,CAY10603,-0.61
5047,FU97,ABT-869,-1.12
5048,FU97,BIX02189,-1.88
5049,FU97,CH5424802,-1.82
5050,FU97,EKB-569,-1.01
5051,FU97,GSK2126458,1.1
5052,FU97,Masitinib,-1.81
5053,FU97,MP470,-1.2
5054,FU97,NVP-BHG712,-1.25
5055,FU97,OSI-930,-1.71
5056,FU97,OSI-027,-0.52
5057,FU97,CX-5461,-2.07
5058,FU97,PHA-793887,-1.15
5059,FU97,PI-103,-2.13
5060,FU97,PIK-93,-1.39
5061,FU97,TPCA-1,-1.39
5062,FU97,TG101348,-1.01
5063,FU97,XL-880,0.11
5064,FU97,Y-39983,-2.18
5065,FU97,YM201636,-0.58
5066,FU97,AV-951,-0.22
5067,FU97,GSK690693,-1.46
5068,FU97,SNX-2112,-0.43
5069,FU97,QL-X-138,-1.01
5070,FU97,T0901317,-2.03
5071,FU97,EX-527,-2.33
5072,FU97,AICAR,-3.96
5073,FU97,Camptothecin,0.88
5074,FU97,Vinblastine,1.26
5075,FU97,Cisplatin,-1.48
5076,FU97,Cytarabine,-0.74
5077,FU97,Docetaxel,2.1
5078,FU97,Methotrexate,-0.27
5079,FU97,ATRA,-1.12
5080,FU97,Gefitinib,-0.57
5081,FU97,ABT-263,-1.28
5082,FU97,Vorinostat,-0.32
5083,FU97,Nilotinib,-1.01
5084,FU97,RDEA119,-0.1
5085,FU97,CI-1040,-1.12
5086,FU97,Temsirolimus,1.44
5087,FU97,Olaparib,-1.19
5088,FU97,ABT-888,-1.66
5089,FU97,Bosutinib,-0.89
5090,FU97,Lenalidomide,-1.56
5091,FU97,Axitinib,-0.16
5092,FU97,AZD7762,0.22
5093,FU97,GW 441756,-0.85
5094,FU97,CEP-701,1
5095,FU97,SB 216763,-1.53
5096,FU97,17-AAG,1.95
5097,FU97,VX-702,-1.28
5098,FU97,AMG-706,-0.85
5099,FU97,KU-55933,-1.39
5100,FU97,Elesclomol,0.67
5101,FU97,Afatinib,-0.62
5102,FU97,Vismodegib,-1.62
5103,FU97,PLX4720,-1.6
5104,FU97,BX-795,-0.6
5105,FU97,NU-7441,-0.72
5106,FU97,SL 0101-1,-2.15
5107,FU97,BIRB 0796,-2.04
5108,FU97,JNK Inhibitor VIII,-1.6
5109,FU97,Nutlin-3a,-2.01
5110,FU97,PD-173074,-0.8
5111,FU97,ZM-447439,-1.43
5112,FU97,RO-3306,-1.84
5113,FU97,MK-2206,0.34
5114,FU97,PD-0332991,-0.49
5115,FU97,NVP-BEZ235,1.36
5116,FU97,GDC0941,0.31
5117,FU97,AZD8055,0.48
5118,FU97,PD-0325901,1.01
5119,FU97,SB590885,-1.54
5120,FU97,CCT007093,-1.59
5121,FU97,EHT 1864,-0.69
5122,FU97,PF-4708671,-0.84
5123,FU97,JNJ-26854165,-0.9
5124,FU97,TW 37,0.37
5125,FU97,CCT018159,-1.16
5126,FU97,AG-014699,-1.41
5127,FU97,SB-505124,-1.67
5128,FU97,Tamoxifen,-1.29
5129,FU97,PFI-1,-0.51
5130,FU97,IOX2,0.11
5131,FU97,YK 4-279,-0.44
5132,FU97,(5Z)-7-Oxozeaenol,-0.21
5133,FU97,piperlongumine,-0.56
5134,FU97,FK866,0
5135,FU97,BMN-673,-1.24
5136,FU97,UNC1215,-1.09
5137,FU97,SGC0946,-0.8
5138,FU97,XAV 939,-1.44
5139,FU97,Trametinib,0.55
5140,FU97,Dabrafenib,-0.91
5141,FU97,Temozolomide,-2.5
5142,FU97,SN-38,1.48
5143,FU97,MLN4924,-0.22
5144,AsPC-1,Doxorubicin,-0.27
5145,AsPC-1,Etoposide,-2.4
5146,AsPC-1,Gemcitabine,-0.58
5147,AsPC-1,Mitomycin C,-0.64
5148,AsPC-1,Vinorelbine,0.2
5149,AsPC-1,QS11,-2.65
5150,AsPC-1,CP466722,-2.02
5151,AsPC-1,Midostaurin,-0.92
5152,AsPC-1,AP-24534,-0.94
5153,AsPC-1,JNK-9L,-0.72
5154,AsPC-1,PF-562271,-1.79
5155,AsPC-1,HG-6-64-1,-0.45
5156,AsPC-1,DMOG,-3.42
5157,AsPC-1,FTI-277,-1.06
5158,AsPC-1,Shikonin,-0.03
5159,AsPC-1,AKT inhibitor VIII,-1.53
5160,AsPC-1,Embelin,-1.74
5161,AsPC-1,FH535,-1.39
5162,AsPC-1,PAC-1,-1.47
5163,AsPC-1,IPA-3,-1.97
5164,AsPC-1,GSK-650394,-2.71
5165,AsPC-1,BAY 61-3606,-2.42
